8|Brew & Beans Cafe|Bandra West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 12:33:37|2025-07-28 12:33:37
9|The Coffee Corner|Powai|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 12:33:37|2025-07-28 12:33:37
10|Café Mocha|Juhu|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 12:33:37|2025-07-28 12:33:37
11|Capital Beans|Connaught Place|New Delhi|New Delhi|Delhi|2025-07-28 12:33:37|2025-07-28 12:33:37
12|Metro Café|Karol Bagh|Central Delhi|New Delhi|Delhi|2025-07-28 12:33:37|2025-07-28 12:33:37
13|Silicon Valley Café|Koramangala|Bangalore Urban|Bangalore|Karnataka|2025-07-28 12:33:37|2025-07-28 12:33:37
14|Garden City Brews|Indiranagar|Bangalore Urban|Bangalore|Karnataka|2025-07-28 12:33:37|2025-07-28 12:33:37
15|Tech Park Café|Electronic City|Bangalore Urban|Bangalore|Karnataka|2025-07-28 12:33:37|2025-07-28 12:33:37
16|Marina Beach Café|Mylapore|Chennai|Chennai|Tamil Nadu|2025-07-28 12:33:37|2025-07-28 12:33:37
17|South Indian Coffee House|T. Nagar|Chennai|Chennai|Tamil Nadu|2025-07-28 12:33:37|2025-07-28 12:33:37
18|Biryani & Beans|Banjara Hills|Hyderabad|Hyderabad|Telangana|2025-07-28 12:33:37|2025-07-28 12:33:37
19|Charminar Café|Jubilee Hills|Hyderabad|Hyderabad|Telangana|2025-07-28 12:33:37|2025-07-28 12:33:37
20|Oxford Street Café|Koregaon Park|Pune|Pune|Maharashtra|2025-07-28 12:33:37|2025-07-28 12:33:37
21|Campus Coffee|Shivaji Nagar|Pune|Pune|Maharashtra|2025-07-28 12:33:37|2025-07-28 12:33:37
22|Heritage Coffee House|Park Street|Kolkata|Kolkata|West Bengal|2025-07-28 12:33:37|2025-07-28 12:33:37
23|Howrah Bridge Café|Salt Lake|Kolkata|Kolkata|West Bengal|2025-07-28 12:33:37|2025-07-28 12:33:37
24|Gujarat Grind|Navrangpura|Ahmedabad|Ahmedabad|Gujarat|2025-07-28 12:33:37|2025-07-28 12:33:37
25|Pink City Café|C-Scheme|Jaipur|Jaipur|Rajasthan|2025-07-28 12:33:37|2025-07-28 12:33:37
26|Spice Coast Café|Fort Kochi|Ernakulam|Kochi|Kerala|2025-07-28 12:33:37|2025-07-28 12:33:37
27|Beach Shack Café|Calangute|North Goa|Panaji|Goa|2025-07-28 12:33:37|2025-07-28 12:33:37
28|Coastal Coffee Co|Marine Drive|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
29|Bollywood Beans|Film City|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
30|Gateway Grind|Colaba|Mumbai City|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
31|Lokhandwala Lounge|Andheri West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
32|Phoenix Café|Lower Parel|Mumbai City|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
33|Versova Vibes|Versova|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
34|Linking Road Lattes|Bandra West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
35|Hill Road Hangout|Bandra West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
36|Worli Sea Link Café|Worli|Mumbai City|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
37|Kurla Coffee Corner|Kurla East|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
38|Mulund Manor Café|Mulund West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
39|Thane Thunder Café|Thane West|Thane|Thane|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
40|Navi Mumbai Nibbles|Vashi|Raigad|Navi Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
41|Kandivali Kafé|Kandivali East|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
42|Malad Mocha|Malad West|Mumbai Suburban|Mumbai|Maharashtra|2025-07-28 13:55:03|2025-07-28 13:55:03
43|Red Fort Roastery|Chandni Chowk|Central Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
44|India Gate Grind|Rajpath|New Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
45|Lodhi Gardens Café|Lodhi Road|New Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
46|Khan Market Coffee|Khan Market|New Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
47|Hauz Khas Village|Hauz Khas|South Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
48|Saket Select City Café|Saket|South Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
49|Dwarka Delights|Dwarka Sector 21|South West Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
50|Rohini Roasters|Rohini Sector 7|North West Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
51|Vasant Kunj Vibes|Vasant Kunj|South West Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
52|Lajpat Nagar Lattes|Lajpat Nagar|South Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
53|Rajouri Garden Café|Rajouri Garden|West Delhi|New Delhi|Delhi|2025-07-28 13:55:03|2025-07-28 13:55:03
54|Gurgaon Gateway|Cyber City|Gurgaon|Gurgaon|Haryana|2025-07-28 13:55:03|2025-07-28 13:55:03
55|Noida Nexus Café|Sector 18|Gautam Buddh Nagar|Noida|Uttar Pradesh|2025-07-28 13:55:03|2025-07-28 13:55:03
56|Faridabad Flash|Sector 21|Faridabad|Faridabad|Haryana|2025-07-28 13:55:03|2025-07-28 13:55:03
57|Greater Noida Grind|Alpha 1|Gautam Buddh Nagar|Greater Noida|Uttar Pradesh|2025-07-28 13:55:03|2025-07-28 13:55:03
58|Whitefield Wings|Whitefield|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:03|2025-07-28 13:55:03
59|Brigade Road Brews|Brigade Road|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:03|2025-07-28 13:55:03
60|Commercial Street Coffee|Shivaji Nagar|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:03|2025-07-28 13:55:03
61|HSR Layout Hangout|HSR Layout|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:03|2025-07-28 13:55:03
62|BTM Layout Beans|BTM Layout|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:03|2025-07-28 13:55:03
63|Jayanagar Java|Jayanagar|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
64|Malleshwaram Mocha|Malleshwaram|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
65|Basavanagudi Barista|Basavanagudi|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
66|Rajajinagar Roast|Rajajinagar|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
67|Vijayanagar Vibes|Vijayanagar|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
68|Marathahalli Mug|Marathahalli|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
69|Sarjapur Sips|Sarjapur Road|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
70|Hebbal Heights|Hebbal|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
71|Yelahanka Yard|Yelahanka|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
72|Banashankari Bliss|Banashankari|Bangalore Urban|Bangalore|Karnataka|2025-07-28 13:55:04|2025-07-28 13:55:04
73|Express Avenue Espresso|Royapettah|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
74|Phoenix MarketCity Café|Velachery|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
75|Adyar Ananda Java|Adyar|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
76|Besant Nagar Beach Café|Besant Nagar|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
77|Anna Nagar Aroma|Anna Nagar|Chennai|Chennai|Tamil Nadu|2025-07-28 13:55:04|2025-07-28 13:55:04
